Village,Year,Crop,Rainfall_Q1,Temp_Q1,Pest_Q1,Rainfall_Q2,Temp_Q2,Pest_Q2,Rainfall_Q3,Temp_Q3,Pest_Q3,Rainfall_Q4,Temp_Q4,Pest_Q4,Harvest_Quarter,Annual_Yield_hg_per_ha
Belagavi,2018,Pepper,21.91,28.05,2.13,78.65,27.91,10.48,459.87,24.33,24.8,97.34,23.71,5.62,Q4,20340
Belagavi,2018,Sugarcane,19.8,27.0,28.89,79.2,28.35,28.89,462.0,25.65,24.08,99.0,26.19,14.45,Q4,690240
Belagavi,2018,Sunflower,21.43,24.96,27.95,81.85,27.66,28.6,461.44,27.13,25.36,100.93,26.48,15.65,Q4,690240
Belagavi,2019,Jowar,22.8,25.8,2.31,91.2,27.09,11.55,532.0,24.51,27.72,114.0,25.03,4.62,Q4,23360
Belagavi,2019,Onion,22.23,26.61,34.21,94.07,27.6,30.69,529.59,22.33,27.09,112.11,22.78,17.88,Q4,825360
Belagavi,2019,Sugarcane,22.8,25.8,32.43,91.2,27.09,32.43,532.0,24.51,27.03,114.0,25.03,16.22,Q4,825360
Belagavi,2019,Turmeric,22.21,24.13,1.97,93.24,24.11,10.28,533.77,26.02,26.9,111.47,26.67,6.12,Q4,23360
Belagavi,2020,Jowar,21.3,26.4,2.16,85.2,27.72,10.78,497.0,25.08,25.86,106.5,25.61,4.31,Q4,21760
Belagavi,2020,Pepper,19.47,24.39,3.18,85.44,26.2,11.53,498.41,26.13,26.32,103.98,27.35,3.31,Q4,21760
Belagavi,2020,Sugarcane,21.3,26.4,30.42,85.2,27.72,30.42,497.0,25.08,25.35,106.5,25.61,15.21,Q4,750560
Belagavi,2020,Turmeric,20.45,28.46,3.92,88.16,26.53,9.77,498.59,25.38,23.96,104.28,27.56,5.72,Q4,21760
Belagavi,2021,Bengal Gram,18.91,28.55,0.52,80.75,26.06,8.32,454.47,28.03,25.46,98.5,27.45,2.45,Q4,20030
Belagavi,2021,Jowar,19.5,27.2,2.0,78.0,28.56,10.0,455.0,25.84,24.0,97.5,26.38,4.0,Q4,20030
Belagavi,2021,Pepper,19.44,24.59,0.53,76.82,27.13,11.28,454.02,26.73,25.54,100.35,26.77,4.15,Q4,20030
Belagavi,2021,Sugarcane,19.5,27.2,28.5,78.0,28.56,28.5,455.0,25.84,23.75,97.5,26.38,14.25,Q4,675030
Belagavi,2022,Jowar,22.2,26.0,2.29,88.8,27.3,11.43,518.0,24.7,27.42,111.0,25.22,4.57,Q4,22970
Belagavi,2022,Onion,23.1,26.68,30.92,90.42,25.26,31.54,519.39,23.1,28.1,109.44,24.99,14.78,Q4,795970
Belagavi,2022,Sugarcane,22.2,26.0,31.53,88.8,27.3,31.53,518.0,24.7,26.28,111.0,25.22,15.77,Q4,795970
Belagavi,2022,Tomato,23.24,25.19,3.19,88.37,29.52,9.99,516.98,23.01,26.61,109.55,27.76,5.94,Q4,22970
Belagavi,2023,Bengal Gram,15.99,29.29,2.72,70.25,30.42,9.04,427.22,23.72,24.23,91.17,27.61,2.62,Q4,18910
Belagavi,2023,Jowar,18.3,27.5,1.94,73.2,28.88,9.7,427.0,26.13,23.28,91.5,26.68,3.88,Q4,18910
Belagavi,2023,Sugarcane,18.3,27.5,27.36,73.2,28.88,27.36,427.0,26.13,22.8,91.5,26.68,13.68,Q4,630910
Belagavi,2023,Turmeric,15.54,26.22,1.56,76.15,29.75,8.51,425.61,25.66,23.57,91.98,29.07,4.6,Q4,18910
Belagavi,2024,Jowar,24.0,25.5,2.43,96.0,26.78,12.13,560.0,24.23,29.1,120.0,24.74,4.85,Q4,24750
Belagavi,2024,Sugarcane,24.0,25.5,33.84,96.0,26.78,33.84,560.0,24.23,28.2,120.0,24.74,16.92,Q4,880750
Belagavi,2024,Sunflower,21.91,22.88,1.19,98.4,24.43,12.08,558.53,21.39,28.43,117.19,25.59,5.81,Q4,24750
Belagavi,2024,Turmeric,23.02,26.08,34.39,97.38,29.78,35.25,562.14,23.29,27.08,120.2,27.62,14.95,Q4,880750
Bhainsa,2007,Groundnut,33.21,25.04,-0.4,100.41,26.62,9.31,401.23,23.1,19.41,129.74,29.6,4.49,Q4,18690
Bhainsa,2007,Ragi,19.52,30.77,1.62,70.59,30.61,14.63,432.93,28.67,27.62,88.68,29.36,6.06,Q4,39320
Bhainsa,2007,Sugarcane,101.83,29.27,25.92,387.75,23.91,27.83,1170.71,23.33,17.28,294.44,24.26,22.51,Q4,19350
Bhainsa,2007,Turmeric,18.16,31.97,2.34,63.06,32.76,12.15,366.36,30.75,25.27,75.73,27.07,5.04,Q4,34420
Bhainsa,2009,Coffee,20.88,24.13,0.79,62.11,23.38,14.48,363.7,26.02,27.19,75.01,29.44,4.69,Q4,34420
Bhainsa,2009,Jowar,36.29,31.0,28.22,105.57,25.73,32.91,408.33,29.5,5.34,137.54,21.2,7.01,Q2,80880
Bhainsa,2009,Paddy,23.29,25.44,29.29,84.2,24.76,29.4,488.21,29.63,22.92,100.13,26.1,16.43,Q4,740800
Bhainsa,2009,Pepper,56.44,21.92,11.63,219.22,26.87,5.45,663.98,25.46,9.18,161.52,19.79,21.44,Q4,135300
Bhainsa,2011,Arecanut,27.98,24.92,24.7,94.1,27.44,33.59,388.61,22.95,9.35,134.35,20.05,7.39,Q2,78960
Bhainsa,2011,Millet,60.47,25.25,14.77,251.8,26.12,4.16,767.72,22.87,12.32,193.73,20.68,24.97,Q4,153600
Bhainsa,2011,Pepper,62.46,24.76,19.19,234.67,21.94,20.45,711.14,22.99,13.29,175.65,23.31,10.45,Q4,8920
Bhainsa,2011,Sugarcane,22.84,29.8,1.81,76.26,30.24,8.01,459.29,31.3,24.77,98.11,28.74,5.32,Q4,43250
Bhainsa,2015,Millet,57.03,24.69,4.28,172.5,28.32,10.76,704.36,28.29,29.27,237.51,27.13,4.51,Q4,52180
Bhainsa,2015,Paddy,58.77,26.22,33.35,170.28,29.04,35.11,653.29,29.87,27.95,219.34,21.37,17.09,Q4,980220
Bhainsa,2015,Sunflower,19.42,33.1,0.11,72.98,25.86,7.85,429.7,33.54,25.18,93.81,28.25,0.84,Q4,41700
Bhainsa,2015,Wheat,63.2,21.1,17.77,244.31,23.06,22.81,723.4,22.89,10.7,183.23,22.42,9.91,Q4,9190
Bhainsa,2016,Jowar,15.55,26.52,3.43,84.53,30.03,15.82,478.55,28.85,28.57,101.84,24.05,8.05,Q4,42930
Bhainsa,2016,Potato,59.69,20.4,18.7,251.54,29.79,21.66,770.81,15.84,11.86,190.06,21.09,9.02,Q4,9710
Bhainsa,2016,Turmeric,96.93,23.87,23.18,389.8,28.97,29.03,1167.6,26.01,16.84,290.99,30.6,27.56,Q4,19350
Bhainsa,2016,Wheat,26.24,27.12,1.14,87.86,31.06,9.32,493.3,30.9,29.22,105.66,28.13,2.6,Q4,46390
Bhainsa,2024,Arecanut,108.71,26.42,26.53,412.44,27.1,27.98,1252.86,24.6,21.44,311.31,25.5,24.6,Q4,20380
Bhainsa,2024,Groundnut,22.58,24.46,28.71,77.87,28.11,26.8,437.63,30.0,22.55,99.23,27.5,13.53,Q4,655670
Bhainsa,2024,Mango,33.46,27.93,28.45,113.73,26.74,36.1,451.09,18.63,10.23,147.15,20.77,8.99,Q2,91260
Bhainsa,2024,Paddy,100.52,20.6,25.9,423.36,29.8,32.05,1260.29,26.95,21.78,319.44,27.05,24.36,Q4,20600
Bolpur,2006,Bengal Gram,13.66,26.52,4.91,62.1,32.06,7.06,332.84,23.92,15.04,74.7,25.69,4.42,Q4,12430
Bolpur,2006,Cotton,91.76,24.75,21.12,359.23,25.66,29.18,1083.86,29.29,14.6,264.15,23.32,20.86,Q4,18100
Bolpur,2006,Jowar,17.36,33.07,8.15,79.03,26.65,61.95,475.1,26.82,72.29,95.93,24.49,17.18,Q4,19860
Bolpur,2006,Wheat,43.4,33.03,34.45,142.06,31.15,35.29,585.24,33.95,29.39,201.38,21.04,15.95,Q4,880580
Bolpur,2008,Onion,57.64,30.48,34.94,154.46,35.44,34.54,621.82,25.07,29.64,211.48,22.34,19.69,Q4,930370
Bolpur,2008,Paddy,20.04,34.84,10.03,73.77,33.91,62.32,441.03,31.13,68.28,96.07,29.16,16.13,Q4,18310
Bolpur,2008,Potato,32.95,27.92,3.49,103.37,25.99,7.87,415.8,25.54,21.52,137.0,27.65,2.46,Q4,19400
Bolpur,2008,Sunflower,70.69,19.92,15.98,282.52,28.36,6.29,843.07,22.21,13.91,211.14,19.81,28.69,Q4,163000
Bolpur,2009,Paddy,21.62,27.31,4.34,63.63,34.97,8.44,373.4,29.67,15.94,82.32,31.61,3.52,Q4,14170
Bolpur,2009,Potato,39.98,26.52,27.04,111.72,22.59,36.44,450.09,25.8,6.08,151.21,23.14,8.06,Q2,89190
Bolpur,2009,Sugarcane,48.86,28.07,33.62,141.91,24.72,36.91,569.98,26.0,28.32,189.19,29.28,18.59,Q4,865680
Bolpur,2009,Turmeric,20.26,28.32,6.82,78.97,32.63,64.54,474.21,31.08,71.03,101.68,29.97,16.55,Q4,19860
Bolpur,2012,Arecanut,50.89,29.01,13.18,217.87,25.41,3.03,660.07,24.36,10.72,166.62,24.48,21.57,Q4,135300
Bolpur,2012,Sugarcane,46.84,29.26,34.9,143.08,30.07,33.86,566.05,21.52,26.34,189.85,22.1,17.84,Q4,850250
Bolpur,2012,Sunflower,44.95,26.53,34.12,133.58,29.63,35.25,543.19,26.1,26.2,184.86,22.35,17.01,Q4,810120
Bolpur,2012,Tomato,14.99,26.68,1.8,73.27,27.34,15.84,423.73,34.47,30.45,91.76,28.69,4.17,Q4,38100
Bolpur,2022,Groundnut,43.9,20.73,-0.83,116.23,24.21,10.57,469.52,27.64,21.95,158.4,29.22,5.72,Q4,21450
Bolpur,2022,Jowar,22.48,27.83,1.07,69.53,23.97,10.81,434.93,19.29,20.5,92.01,26.94,3.14,Q4,16320
Bolpur,2022,Mango,20.88,30.17,27.52,77.39,29.16,28.75,455.49,27.16,25.0,102.26,28.04,12.76,Q4,665720
Bolpur,2022,Millet,65.47,20.83,16.1,248.64,26.95,5.45,740.18,24.7,9.99,181.75,26.79,24.62,Q4,151200
Bolpur,2024,Bengal Gram,37.03,21.04,29.69,103.45,23.98,33.9,424.68,21.6,9.64,141.34,28.33,7.19,Q2,85305
Bolpur,2024,Maize,26.03,26.83,3.68,94.67,25.61,11.3,508.16,28.43,24.03,104.57,29.29,4.38,Q4,22490
Bolpur,2024,Millet,60.21,24.19,37.32,165.66,28.17,35.75,650.69,31.05,29.79,211.79,32.16,16.65,Q4,960940
Bolpur,2024,Onion,36.08,26.41,25.14,104.29,23.89,33.79,430.68,22.59,7.86,137.56,19.55,8.47,Q2,85305
Chamrajnagar,2007,Groundnut,13.77,29.35,2.17,58.46,31.01,12.73,345.32,34.95,19.6,71.54,23.93,7.04,Q4,13060
Chamrajnagar,2007,Potato,59.36,30.94,2.82,168.51,23.87,15.12,688.57,29.52,30.44,230.7,25.43,5.64,Q4,51200
Chamrajnagar,2007,Sunflower,18.94,21.59,33.98,95.83,27.85,33.84,542.93,25.29,29.39,115.47,22.25,15.91,Q4,850270
Chamrajnagar,2007,Turmeric,24.09,26.76,30.95,91.07,20.74,32.17,522.64,23.12,27.51,113.12,23.67,13.42,Q4,795970
Chamrajnagar,2018,Coffee,15.66,24.72,0.08,78.8,29.94,10.76,440.96,26.45,25.83,91.86,25.42,0.46,Q4,19260
Chamrajnagar,2018,Jowar,22.4,30.49,0.31,77.63,28.93,8.42,451.61,25.08,24.82,95.74,28.93,5.16,Q4,19820
Chamrajnagar,2018,Millet,16.41,30.09,1.79,66.55,34.31,8.62,378.67,29.44,19.12,82.15,28.33,2.36,Q4,14170
Chamrajnagar,2018,Turmeric,46.67,24.36,35.51,141.47,34.22,34.06,563.83,29.26,25.64,194.31,29.67,19.68,Q4,835960
Chamrajnagar,2020,Arecanut,51.97,21.13,16.48,218.27,28.09,18.62,659.79,19.65,11.1,169.73,24.69,8.05,Q4,8230
Chamrajnagar,2020,Groundnut,37.52,25.27,0.63,106.22,26.45,10.09,416.32,24.74,20.53,139.47,25.33,1.62,Q4,19400
Chamrajnagar,2020,Paddy,62.96,21.21,18.29,257.69,19.83,21.47,770.44,29.24,10.52,189.93,17.03,9.68,Q4,9710
Chamrajnagar,2020,Sunflower,75.62,27.35,17.48,286.69,20.41,24.83,850.78,26.4,15.44,210.93,23.41,8.15,Q4,10790
Chamrajnagar,2021,Arecanut,94.05,27.51,0.61,393.38,27.4,12.76,1172.73,27.62,33.15,290.0,27.51,3.19,Q4,51850
Chamrajnagar,2021,Maize,67.51,19.41,18.33,265.3,21.38,24.07,811.31,23.45,13.04,199.16,21.81,9.84,Q4,10250
Chamrajnagar,2021,Mango,16.49,28.65,2.83,61.77,35.08,13.61,385.02,30.84,26.66,78.89,35.25,4.36,Q4,35145
Chamrajnagar,2021,Potato,85.74,25.36,0.24,339.08,28.39,10.63,1027.41,23.53,30.5,258.16,22.69,6.22,Q4,47520
Chamrajnagar,2022,Arecanut,50.99,32.36,3.56,166.23,29.85,13.08,644.66,23.12,30.31,213.03,24.23,6.42,Q4,49540
Chamrajnagar,2022,Paddy,111.14,23.89,28.1,454.15,21.3,32.66,1348.56,21.45,20.49,337.46,26.27,27.14,Q4,21950
Chamrajnagar,2022,Potato,33.6,23.54,0.55,89.77,33.41,5.97,380.93,26.67,20.05,128.15,21.54,3.71,Q4,17580
Chamrajnagar,2022,Tomato,89.3,25.66,3.58,369.29,21.96,12.59,1116.82,28.93,32.04,276.09,17.39,8.49,Q4,50150
Chamrajnagar,2023,Bengal Gram,14.39,29.39,3.33,67.11,28.55,7.25,356.93,19.43,22.21,75.3,28.15,3.95,Q4,13680
Chamrajnagar,2023,Jowar,34.99,26.95,29.19,100.19,32.38,35.62,409.79,19.27,6.39,136.7,28.63,7.18,Q2,81590
Chamrajnagar,2023,Millet,70.07,27.47,20.53,285.79,20.96,21.57,853.6,20.88,11.56,211.55,17.81,11.84,Q4,10790
Chamrajnagar,2023,Onion,20.1,28.39,6.98,63.98,27.14,56.2,394.01,32.28,60.31,80.41,25.95,15.76,Q4,16590
Chandrapur,2007,Jowar,12.95,32.74,3.31,58.86,35.31,10.8,340.75,30.08,22.14,69.69,24.46,4.11,Q4,30830
Chandrapur,2007,Millet,20.76,28.55,29.2,76.5,24.03,30.56,452.7,26.84,21.81,102.01,20.49,13.98,Q4,680450
Chandrapur,2007,Sunflower,19.67,25.9,5.6,71.2,30.17,12.84,421.05,29.52,24.85,86.66,29.25,5.84,Q4,41000
Chandrapur,2007,Tomato,35.08,18.76,1.6,111.54,31.81,8.18,433.11,19.11,19.08,141.45,19.88,0.77,Q4,19845
Chandrapur,2013,Arecanut,13.96,30.25,7.43,76.89,29.46,59.81,423.82,25.33,65.32,89.01,26.74,15.41,Q4,17720
Chandrapur,2013,Groundnut,103.92,25.95,26.19,423.85,22.03,28.77,1261.34,26.22,21.59,310.46,22.16,24.71,Q4,20600
Chandrapur,2013,Maize,51.22,24.52,4.12,148.06,25.44,11.0,588.17,26.73,28.85,196.49,30.34,4.97,Q4,47580
Chandrapur,2013,Pepper,19.61,28.11,28.58,87.79,25.53,29.45,499.09,27.4,27.42,110.57,25.33,16.88,Q4,765920
Chandrapur,2016,Maize,18.43,28.1,0.48,83.7,26.53,15.5,463.22,28.36,29.84,102.54,29.09,7.17,Q4,41560
Chandrapur,2016,Paddy,45.29,32.13,30.65,117.59,30.03,28.57,488.73,32.04,29.29,163.75,30.65,15.9,Q4,720440
Chandrapur,2016,Pepper,40.35,26.27,1.05,99.13,24.73,6.21,408.19,21.01,19.51,134.9,27.68,1.69,Q4,18785
Chandrapur,2016,Sugarcane,42.55,30.72,0.07,118.41,27.33,11.59,495.84,31.48,24.09,159.59,32.54,2.27,Q4,43140
Chandrapur,2019,Potato,24.13,31.99,1.87,70.64,25.98,17.72,432.01,22.14,25.47,93.25,28.65,5.74,Q4,38560
Chandrapur,2019,Ragi,85.8,26.03,21.53,327.17,32.2,23.01,986.42,28.18,15.24,246.76,28.85,20.34,Q4,16850
Chandrapur,2019,Sugarcane,21.13,34.71,-0.4,59.97,37.35,9.67,379.64,31.46,23.4,81.85,28.63,5.68,Q4,37480
Chandrapur,2019,Tomato,26.35,30.96,0.58,96.12,28.58,7.4,382.16,29.34,16.27,127.28,30.7,4.55,Q4,17890
Chandrapur,2022,Coffee,43.88,30.18,32.89,124.73,29.55,28.47,495.55,31.67,25.43,166.61,31.39,16.14,Q4,720440
Chandrapur,2022,Mango,59.73,28.49,14.36,253.92,23.79,7.33,769.1,17.81,10.02,196.17,21.0,25.8,Q4,153600
Chandrapur,2022,Millet,13.15,31.13,1.09,67.7,34.64,7.45,380.44,28.76,20.63,75.9,22.01,4.81,Q4,14550
Chandrapur,2022,Paddy,38.15,24.87,25.4,109.49,23.28,35.74,426.3,22.57,6.9,139.79,27.63,7.91,Q2,84260
